Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 09:13:19.084,0,0,0,0,0,0,0,0,0,
0.04, 09:13:19.400,0,0,0,0,0,0,0,0,0,
0.3733333, 09:13:21.827,0,0,0,0,0,0,0,0,0,
0.4844542, 09:13:21.927,0,0,0,0,0,0,0,0,0,
0.5893121, 09:13:22.044,0,0,0,0,0,0,0,0,0,
0.6588128, 09:13:22.095,0,0,0,0,0,0,0,0,0,
0.724512, 09:13:22.161,0,0,0,0,0,0,0,0,0,
0.77819, 09:13:22.214,0,0,0,0,0,0,0,0,0,
0.8298824, 09:13:22.266,0,0,0,0,0,0,0,0,0,
0.880412, 09:13:22.317,0,0,0,0,0,0,0,0,0,
0.9234974, 09:13:22.360,0,0,0,0,0,0,0,0,0,
0.9741907, 09:13:22.410,0,0,0,0,0,0,0,0,0,
1.015464, 09:13:22.451,0,0,0,0,0,0,0,0,0,
1.059358, 09:13:22.496,0,0,0,0,0,0,0,0,0,
1.101548, 09:13:22.540,0,0,0,0,0,0,0,0,0,
1.157681, 09:13:22.594,0,0,0,0,0,0,0,0,0,
1.205747, 09:13:22.643,0,0,0,0,0,0,0,0,0,
1.259151, 09:13:22.695,0,0,0,0,0,0,0,0,0,
1.3019, 09:13:22.738,0,0,0,0,0,0,0,0,0,
1.345769, 09:13:22.781,0,0,0,0,0,0,0,0,0,
1.389122, 09:13:22.825,0,0,0,0,0,0,0,0,0,
1.437228, 09:13:22.873,0,0,0,0,0,0,0,0,0,
1.478321, 09:13:22.914,0,0,0,0,0,0,0,0,0,
1.527107, 09:13:22.964,0,0,0,0,0,0,0,0,0,
1.575255, 09:13:23.013,0,0,0,0,0,0,0,0,0,
1.628281, 09:13:23.066,0,0,0,0,0,0,0,0,0,
1.756342, 09:13:23.195,0,0,0,0,0,0,0,0,0,
1.803001, 09:13:23.240,0,0,0,0,0,0,0,0,0,
1.847846, 09:13:23.425,0,0,0,0,0,0,0,0,0,
2.032476, 09:13:23.476,0,0,0,0,0,0,0,0,0,
2.36581, 09:13:23.990,0,0,0,0,0,0,0,0,0,
2.544403, 09:13:24.161,0,0,0,0,0,0,0,0,0,
2.595755, 09:13:24.204,0,0,0,0,0,0,0,0,0,
2.641477, 09:13:24.251,0,0,0,0,0,0,0,0,0,
2.685098, 09:13:24.293,0,0,0,0,0,0,0,0,0,
