Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.0550157, 19:49:50.158,120.34,158.61,289,3.03,0.71,3.36,0.11,0.41,1.23,
0.1100516, 19:49:50.225,120.34,158.61,289,5.74,-4.44,1.24,0.31,0.63,0.55,
0.1753526, 19:49:50.275,84.37,28.37,343.44,-2.11,-1.66,-0.2,0.51,0.93,-0.35,
0.2256852, 19:49:50.343,84.8,28.49,342.54,2.05,-2.34,-0.85,0.49,0.93,-0.6,
0.2909744, 19:49:50.398,85.25,28.59,341.6,4.03,-0.47,-1.15,0.5,0.83,-0.89,
0.3459031, 19:49:50.469,85.65,28.66,340.79,9.4,-0.98,-1.49,0.4,0.87,-0.68,
0.4171654, 19:49:50.528,85.65,28.66,340.79,3.93,-0.8,-0.24,0.38,0.88,-0.43,
0.478434, 19:49:50.594,101.47,152.51,307.89,1.73,-0.5,0.25,0.45,0.86,-0.31,
0.541994, 19:49:50.652,101.91,152.53,307.07,0.37,0.27,-0.18,0.48,0.84,-0.15,
0.6003396, 19:49:50.722,102.35,152.53,306.24,0.93,-0.11,-0.43,0.49,0.89,-0.14,
0.6770324, 19:49:50.779,102.76,152.52,305.47,1.85,-0.64,-0.27,0.46,0.86,-0.19,
0.7274662, 19:49:50.846,102.76,152.52,305.47,0.07,0.31,-0.26,0.46,0.87,-0.16,
0.793898, 19:49:50.918,103.23,151.88,303.2,1.89,-0.31,-0.76,0.48,0.89,-0.17,
0.867501, 19:49:50.960,103.16,151.87,303.29,0.53,0.61,-0.54,0.48,0.87,-0.2,
0.9082192, 19:49:51.046,103.11,151.86,303.34,1.57,0,-0.55,0.46,0.87,-0.18,
0.9972404, 19:49:51.102,103.09,151.86,303.35,1.08,0.02,-0.47,0.46,0.86,-0.18,
1.050284, 19:49:51.149,103.09,151.86,303.35,1.24,0.03,-0.52,0.47,0.86,-0.2,
1.097912, 19:49:51.230,103.8,152.03,302.18,0.84,0.37,-0.5,0.47,0.87,-0.19,
1.179113, 19:49:51.274,103.81,152.04,302.16,1.28,0.3,-0.51,0.47,0.88,-0.2,
1.222766, 19:49:51.346,103.81,152.04,302.17,1.93,0.08,-0.41,0.46,0.86,-0.2,
1.294802, 19:49:51.411,103.79,152.05,302.19,1.63,0.33,-0.51,0.46,0.86,-0.21,
1.360053, 19:49:51.470,103.79,152.05,302.19,1.02,0.67,-0.58,0.46,0.85,-0.22,
1.418581, 19:49:51.525,103.79,152.05,302.19,1.39,0.46,-0.64,0.47,0.86,-0.21,
1.473507, 19:49:51.599,104.55,152.01,301.88,1.07,0.7,-0.81,0.48,0.86,-0.22,
1.547118, 19:49:51.669,104.57,152.02,301.88,1.58,0.44,-0.86,0.46,0.85,-0.22,
1.618036, 19:49:51.719,104.59,152.02,301.91,2.14,0.03,-0.82,0.42,0.83,-0.25,
1.667922, 19:49:51.797,104.6,152.03,301.95,3.79,-1.05,-2.29,0.28,0.71,-0.25,
1.744951, 19:49:51.849,104.6,152.03,301.95,3.61,-0.69,-2.49,0.55,0.8,-0.16,
1.798429, 19:49:51.912,108.52,154.39,298.46,1.77,0.4,-1.69,0.49,0.87,-0.24,
1.859447, 19:49:51.972,108.53,154.44,298.56,-1.44,2.53,-2.11,0.34,0.97,-0.37,
1.919597, 19:49:52.024,108.47,154.48,298.73,-3.14,4.07,-2.1,0.42,1,-0.33,
1.972336, 19:49:52.102,108.39,154.5,298.95,-6.16,4.45,-0.27,0.49,0.93,-0.16,
2.049495, 19:49:52.169,108.39,154.5,298.95,-2.76,2.41,0.12,0.45,0.89,-0.09,
2.117258, 19:49:52.236,98.19,154.81,319.03,-0.64,2.27,-1.17,0.41,0.87,-0.07,
2.183495, 19:49:52.294,97.84,154.75,319.66,0.26,1.85,-1.1,0.39,0.9,-0.08,
2.242126, 19:49:52.347,97.5,154.71,320.28,-0.63,1.89,0.18,0.4,0.93,-0.06,
2.294656, 19:49:52.402,97.19,154.69,320.89,0.15,1.23,1.63,0.45,0.94,-0.02,
2.349745, 19:49:52.469,97.19,154.69,320.89,1.1,0.83,1.48,0.5,0.95,-0.03,
2.417205, 19:49:52.526,93.24,153.18,327.47,2.9,0.18,-0.37,0.5,0.92,-0.08,
2.473616, 19:49:52.594,93.25,153.02,327.3,2.85,-0.43,-1.26,0.48,0.88,-0.1,
2.542502, 19:49:52.646,93.32,152.89,327.08,1.72,-0.82,-0.96,0.46,0.85,-0.1,
2.594505, 19:49:52.719,93.42,152.78,326.82,0.62,-0.98,-0.4,0.45,0.87,-0.1,
2.668117, 19:49:52.770,93.42,152.78,326.82,0.95,-1.35,-0.5,0.46,0.89,-0.11,
2.718606, 19:49:52.847,96.82,153.1,320.88,2.92,-2.05,-0.81,0.48,0.84,-0.11,
2.794801, 19:49:52.921,96.9,153.11,320.7,2.82,-1.47,-0.11,0.46,0.89,-0.11,
2.869943, 19:49:52.971,97,153.13,320.48,2.75,-2.02,0.66,0.43,0.9,-0.16,
2.919901, 19:49:53.025,97.1,153.16,320.27,0.47,-1.1,0.63,0.44,0.89,-0.18,
2.97335, 19:49:53.096,97.1,153.16,320.27,-2.17,0.69,0.12,0.33,0.94,-0.16,
3.044885, 19:49:53.150,100.91,152.55,311,-1.63,1.62,-0.48,0.19,1,-0.21,
3.099218, 19:49:53.203,100.64,152.57,311.42,0.05,0.4,0.33,0.34,0.92,-0.14,
3.151383, 19:49:53.273,100.4,152.61,311.84,0.11,0.86,0.33,0.6,0.83,-0.08,
3.22157, 19:49:53.324,100.16,152.67,312.26,0.82,1.24,-0.07,0.66,0.8,-0.09,
3.272281, 19:49:53.401,100.16,152.67,312.26,0.57,0.46,0.85,0.66,0.77,-0.12,
3.349091, 19:49:53.472,97.46,150.92,316.22,0.71,-0.54,1.66,0.57,0.82,-0.14,
3.420031, 19:49:53.524,97.46,150.72,316.03,0.92,-1.07,1.71,0.44,0.9,-0.11,
3.472787, 19:49:53.574,97.49,150.51,315.81,1.08,-0.35,0.85,0.33,0.96,-0.06,
3.521934, 19:49:53.644,97.52,150.3,315.55,3.19,0.05,-0.08,0.45,0.85,-0.14,
3.592386, 19:49:53.697,97.52,150.3,315.55,1.66,1.33,0.88,0.68,0.79,-0.16,
3.645922, 19:49:53.768,100.11,147.78,308.44,2.25,3.07,0.67,0.76,0.76,-0.07,
3.715893, 19:49:53.825,99.95,147.55,308.63,2.24,3.49,0.52,0.61,0.75,-0.13,
