Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 10:38:08.468,0,0,0,0,0,0,0,0,0,
0.04, 10:38:08.902,0,0,0,0,0,0,0,0,0,
0.3733333, 10:38:16.063,0,0,0,0,0,0,0,0,0,
0.505461, 10:38:16.151,0,0,0,0,0,0,0,0,0,
0.570272, 10:38:16.224,0,0,0,0,0,0,0,0,0,
0.6137883, 10:38:16.249,0,0,0,0,0,0,0,0,0,
0.6598128, 10:38:16.296,0,0,0,0,0,0,0,0,0,
0.6930318, 10:38:16.329,0,0,0,0,0,0,0,0,0,
0.7242618, 10:38:16.360,0,0,0,0,0,0,0,0,0,
0.7549804, 10:38:16.391,0,0,0,0,0,0,0,0,0,
0.7798974, 10:38:16.416,0,0,0,0,0,0,0,0,0,
0.8113003, 10:38:16.448,0,0,0,0,0,0,0,0,0,
0.8486227, 10:38:16.484,0,0,0,0,0,0,0,0,0,
0.8746993, 10:38:16.509,0,0,0,0,0,0,0,0,0,
0.8972799, 10:38:16.533,0,0,0,0,0,0,0,0,0,
0.9759612, 10:38:16.614,0,0,0,0,0,0,0,0,0,
1.003168, 10:38:16.639,0,0,0,0,0,0,0,0,0,
1.094146, 10:38:16.732,0,0,0,0,0,0,0,0,0,
1.123792, 10:38:16.760,0,0,0,0,0,0,0,0,0,
1.149964, 10:38:16.784,0,0,0,0,0,0,0,0,0,
1.214823, 10:38:16.851,0,0,0,0,0,0,0,0,0,
1.242568, 10:38:16.878,0,0,0,0,0,0,0,0,0,
1.265307, 10:38:16.900,0,0,0,0,0,0,0,0,0,
1.294726, 10:38:16.930,0,0,0,0,0,0,0,0,0,
1.319949, 10:38:16.955,0,0,0,0,0,0,0,0,0,
1.345316, 10:38:16.981,0,0,0,0,0,0,0,0,0,
1.422026, 10:38:17.061,0,0,0,0,0,0,0,0,0,
1.468997, 10:38:17.106,0,0,0,0,0,0,0,0,0,
1.495787, 10:38:17.358,0,0,0,0,0,0,0,0,0,
1.74936, 10:38:17.394,0,0,0,0,0,0,0,0,0,
2.082693, 10:38:17.815,0,0,0,0,0,0,0,0,0,
2.416027, 10:38:18.603,0,0,0,0,0,0,0,0,0,
2.479562, 10:38:18.654,0,0,0,0,0,0,0,0,0,
2.506531, 10:38:18.680,0,0,0,0,0,0,0,0,0,
2.531284, 10:38:18.704,0,0,0,0,0,0,0,0,0,
2.577304, 10:38:18.751,0,0,0,0,0,0,0,0,0,
2.602783, 10:38:18.776,0,0,0,0,0,0,0,0,0,
2.627467, 10:38:18.800,0,0,0,0,0,0,0,0,0,
2.651785, 10:38:18.824,0,0,0,0,0,0,0,0,0,
2.675681, 10:38:18.848,0,0,0,0,0,0,0,0,0,
2.700093, 10:38:18.873,0,0,0,0,0,0,0,0,0,
2.724843, 10:38:18.898,0,0,0,0,0,0,0,0,0,
2.748441, 10:38:18.922,0,0,0,0,0,0,0,0,0,
2.771346, 10:38:18.944,0,0,0,0,0,0,0,0,0,
2.794686, 10:38:18.968,0,0,0,0,0,0,0,0,0,
2.818258, 10:38:18.991,0,0,0,0,0,0,0,0,0,
2.840421, 10:38:19.015,0,0,0,0,0,0,0,0,0,
2.86502, 10:38:19.038,0,0,0,0,0,0,0,0,0,
2.888845, 10:38:19.061,0,0,0,0,0,0,0,0,0,
2.913271, 10:38:19.086,0,0,0,0,0,0,0,0,0,
2.937396, 10:38:19.110,0,0,0,0,0,0,0,0,0,
2.962537, 10:38:19.137,0,0,0,0,0,0,0,0,0,
2.986188, 10:38:19.159,0,0,0,0,0,0,0,0,0,
3.008368, 10:38:19.181,0,0,0,0,0,0,0,0,0,
3.031353, 10:38:19.204,0,0,0,0,0,0,0,0,0,
3.056375, 10:38:19.229,0,0,0,0,0,0,0,0,0,
3.080997, 10:38:19.255,0,0,0,0,0,0,0,0,0,
3.106158, 10:38:19.279,0,0,0,0,0,0,0,0,0,
3.131354, 10:38:19.305,0,0,0,0,0,0,0,0,0,
3.155029, 10:38:19.328,0,0,0,0,0,0,0,0,0,
3.178234, 10:38:19.352,0,0,0,0,0,0,0,0,0,
3.201976, 10:38:19.376,0,0,0,0,0,0,0,0,0,
3.226419, 10:38:19.399,0,0,0,0,0,0,0,0,0,
3.250524, 10:38:19.423,0,0,0,0,0,0,0,0,0,
3.274542, 10:38:19.448,0,0,0,0,0,0,0,0,0,
3.298595, 10:38:19.472,0,0,0,0,0,0,0,0,0,
3.322499, 10:38:19.497,0,0,0,0,0,0,0,0,0,
3.352979, 10:38:19.526,0,0,0,0,0,0,0,0,0,
3.380365, 10:38:19.556,0,0,0,0,0,0,0,0,0,
3.417445, 10:38:19.591,0,0,0,0,0,0,0,0,0,
3.44508, 10:38:19.619,0,0,0,0,0,0,0,0,0,
3.471679, 10:38:19.644,0,0,0,0,0,0,0,0,0,
3.495149, 10:38:19.669,0,0,0,0,0,0,0,0,0,
3.518241, 10:38:19.692,0,0,0,0,0,0,0,0,0,
3.545536, 10:38:19.720,0,0,0,0,0,0,0,0,0,
3.573434, 10:38:19.747,0,0,0,0,0,0,0,0,0,
3.598708, 10:38:19.771,0,0,0,0,0,0,0,0,0,
3.622852, 10:38:19.796,0,0,0,0,0,0,0,0,0,
3.646552, 10:38:19.819,0,0,0,0,0,0,0,0,0,
3.668894, 10:38:19.841,0,0,0,0,0,0,0,0,0,
3.692994, 10:38:19.865,0,0,0,0,0,0,0,0,0,
3.716964, 10:38:19.890,0,0,0,0,0,0,0,0,0,
3.740693, 10:38:19.914,0,0,0,0,0,0,0,0,0,
3.76582, 10:38:19.939,0,0,0,0,0,0,0,0,0,
3.789765, 10:38:19.962,0,0,0,0,0,0,0,0,0,
3.814821, 10:38:19.988,0,0,0,0,0,0,0,0,0,
3.838142, 10:38:20.012,0,0,0,0,0,0,0,0,0,
3.862867, 10:38:20.037,0,0,0,0,0,0,0,0,0,
3.890203, 10:38:20.063,0,0,0,0,0,0,0,0,0,
3.914965, 10:38:20.089,0,0,0,0,0,0,0,0,0,
3.939891, 10:38:20.113,0,0,0,0,0,0,0,0,0,
3.964234, 10:38:20.139,0,0,0,0,0,0,0,0,0,
3.989024, 10:38:20.161,0,0,0,0,0,0,0,0,0,
4.013137, 10:38:20.186,0,0,0,0,0,0,0,0,0,
4.037534, 10:38:20.211,0,0,0,0,0,0,0,0,0,
4.062675, 10:38:20.236,0,0,0,0,0,0,0,0,0,
4.087786, 10:38:20.261,0,0,0,0,0,0,0,0,0,
