Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 10:05:04.766,0,0,0,0,0,0,0,0,0,
0.04, 10:05:05.399,0,0,0,0,0,0,0,0,0,
0.3733333, 10:05:13.038,0,0,0,0,0,0,0,0,0,
0.7066667, 10:05:13.450,0,0,0,0,0,0,0,0,0,
0.8601098, 10:05:13.563,0,0,0,0,0,0,0,0,0,
0.9105896, 10:05:13.597,0,0,0,0,0,0,0,0,0,
0.9609643, 10:05:13.649,0,0,0,0,0,0,0,0,0,
1.000747, 10:05:13.688,0,0,0,0,0,0,0,0,0,
1.086154, 10:05:13.776,0,0,0,0,0,0,0,0,0,
1.1323, 10:05:13.821,0,0,0,0,0,0,0,0,0,
1.173559, 10:05:13.861,0,0,0,0,0,0,0,0,0,
1.256311, 10:05:13.946,0,0,0,0,0,0,0,0,0,
1.291649, 10:05:13.978,0,0,0,0,0,0,0,0,0,
1.331351, 10:05:14.018,0,0,0,0,0,0,0,0,0,
1.396124, 10:05:14.083,0,0,0,0,0,0,0,0,0,
1.441943, 10:05:14.129,0,0,0,0,0,0,0,0,0,
1.477599, 10:05:14.164,0,0,0,0,0,0,0,0,0,
1.810933, 10:05:15.012,0,0,0,0,0,0,0,0,0,
1.86655, 10:05:15.052,0,0,0,0,0,0,0,0,0,
1.948673, 10:05:15.136,0,0,0,0,0,0,0,0,0,
2.030156, 10:05:15.217,0,0,0,0,0,0,0,0,0,
2.071326, 10:05:15.256,0,0,0,0,0,0,0,0,0,
2.111227, 10:05:15.295,0,0,0,0,0,0,0,0,0,
2.153986, 10:05:15.339,0,0,0,0,0,0,0,0,0,
2.186264, 10:05:15.371,0,0,0,0,0,0,0,0,0,
2.22169, 10:05:15.405,0,0,0,0,0,0,0,0,0,
2.329859, 10:05:15.518,0,0,0,0,0,0,0,0,0,
2.365545, 10:05:15.550,0,0,0,0,0,0,0,0,0,
2.426938, 10:05:15.858,0,0,0,0,0,0,0,0,0,
2.709901, 10:05:15.940,0,0,0,0,0,0,0,0,0,
3.043235, 10:05:16.501,0,0,0,0,0,0,0,0,0,
3.171059, 10:05:16.616,0,0,0,0,0,0,0,0,0,
3.210984, 10:05:16.654,0,0,0,0,0,0,0,0,0,
3.312127, 10:05:16.757,0,0,0,0,0,0,0,0,0,
3.418303, 10:05:16.864,0,0,0,0,0,0,0,0,0,
3.461213, 10:05:16.905,0,0,0,0,0,0,0,0,0,
3.503231, 10:05:16.946,0,0,0,0,0,0,0,0,0,
3.539651, 10:05:16.981,0,0,0,0,0,0,0,0,0,
3.585633, 10:05:17.029,0,0,0,0,0,0,0,0,0,
3.621814, 10:05:17.064,0,0,0,0,0,0,0,0,0,
3.655221, 10:05:17.095,0,0,0,0,0,0,0,0,0,
3.684693, 10:05:17.127,0,0,0,0,0,0,0,0,0,
3.722825, 10:05:17.164,0,0,0,0,0,0,0,0,0,
3.766069, 10:05:17.208,0,0,0,0,0,0,0,0,0,
3.802035, 10:05:17.245,0,0,0,0,0,0,0,0,0,
3.838781, 10:05:17.280,0,0,0,0,0,0,0,0,0,
3.867685, 10:05:17.310,0,0,0,0,0,0,0,0,0,
3.90064, 10:05:17.343,0,0,0,0,0,0,0,0,0,
3.931427, 10:05:17.371,0,0,0,0,0,0,0,0,0,
3.962559, 10:05:17.404,0,0,0,0,0,0,0,0,0,
3.99417, 10:05:17.434,0,0,0,0,0,0,0,0,0,
4.027812, 10:05:17.470,0,0,0,0,0,0,0,0,0,
4.063679, 10:05:17.505,0,0,0,0,0,0,0,0,0,
4.095246, 10:05:17.536,0,0,0,0,0,0,0,0,0,
4.13061, 10:05:17.574,0,0,0,0,0,0,0,0,0,
4.167542, 10:05:17.610,0,0,0,0,0,0,0,0,0,
4.199222, 10:05:17.640,0,0,0,0,0,0,0,0,0,
4.231293, 10:05:17.673,0,0,0,0,0,0,0,0,0,
4.270687, 10:05:17.714,0,0,0,0,0,0,0,0,0,
4.308378, 10:05:17.750,0,0,0,0,0,0,0,0,0,
4.343519, 10:05:17.785,0,0,0,0,0,0,0,0,0,
4.374634, 10:05:17.815,0,0,0,0,0,0,0,0,0,
4.40697, 10:05:17.849,0,0,0,0,0,0,0,0,0,
4.448405, 10:05:17.891,0,0,0,0,0,0,0,0,0,
4.484379, 10:05:17.926,0,0,0,0,0,0,0,0,0,
4.520778, 10:05:17.962,0,0,0,0,0,0,0,0,0,
4.55204, 10:05:17.992,0,0,0,0,0,0,0,0,0,
4.582353, 10:05:18.025,0,0,0,0,0,0,0,0,0,
4.614254, 10:05:18.054,0,0,0,0,0,0,0,0,0,
4.653658, 10:05:18.096,0,0,0,0,0,0,0,0,0,
4.692598, 10:05:18.136,0,0,0,0,0,0,0,0,0,
4.72922, 10:05:18.180,0,0,0,0,0,0,0,0,0,
4.772365, 10:05:18.214,0,0,0,0,0,0,0,0,0,
4.810112, 10:05:18.253,0,0,0,0,0,0,0,0,0,
4.864276, 10:05:18.308,0,0,0,0,0,0,0,0,0,
4.899515, 10:05:18.342,0,0,0,0,0,0,0,0,0,
4.931257, 10:05:18.372,0,0,0,0,0,0,0,0,0,
4.965554, 10:05:18.407,0,0,0,0,0,0,0,0,0,
5.010761, 10:05:18.453,0,0,0,0,0,0,0,0,0,
5.045556, 10:05:18.487,0,0,0,0,0,0,0,0,0,
5.079435, 10:05:18.521,0,0,0,0,0,0,0,0,0,
5.145444, 10:05:18.591,0,0,0,0,0,0,0,0,0,
5.205395, 10:05:18.648,0,0,0,0,0,0,0,0,0,
5.241942, 10:05:18.685,0,0,0,0,0,0,0,0,0,
5.276955, 10:05:18.717,0,0,0,0,0,0,0,0,0,
5.309977, 10:05:18.751,0,0,0,0,0,0,0,0,0,
5.39078, 10:05:18.834,0,0,0,0,0,0,0,0,0,
5.426017, 10:05:18.868,0,0,0,0,0,0,0,0,0,
5.460646, 10:05:18.903,0,0,0,0,0,0,0,0,0,
5.527413, 10:05:18.974,0,0,0,0,0,0,0,0,0,
5.570447, 10:05:19.013,0,0,0,0,0,0,0,0,0,
5.601676, 10:05:19.047,0,0,0,0,0,0,0,0,0,
5.639341, 10:05:19.080,0,0,0,0,0,0,0,0,0,
5.681515, 10:05:19.124,0,0,0,0,0,0,0,0,0,
5.718046, 10:05:19.159,0,0,0,0,0,0,0,0,0,
5.748766, 10:05:19.192,0,0,0,0,0,0,0,0,0,
5.784534, 10:05:19.227,0,0,0,0,0,0,0,0,0,
5.817522, 10:05:19.261,0,0,0,0,0,0,0,0,0,
5.857385, 10:05:19.300,0,0,0,0,0,0,0,0,0,
5.896594, 10:05:19.346,0,0,0,0,0,0,0,0,0,
5.939464, 10:05:19.382,0,0,0,0,0,0,0,0,0,
5.972059, 10:05:19.414,0,0,0,0,0,0,0,0,0,
6.00697, 10:05:19.448,0,0,0,0,0,0,0,0,0,
6.042733, 10:05:19.484,0,0,0,0,0,0,0,0,0,
6.075672, 10:05:19.517,0,0,0,0,0,0,0,0,0,
6.108658, 10:05:19.552,0,0,0,0,0,0,0,0,0,
6.14544, 10:05:19.588,0,0,0,0,0,0,0,0,0,
6.182405, 10:05:19.625,0,0,0,0,0,0,0,0,0,
6.218606, 10:05:19.660,0,0,0,0,0,0,0,0,0,
6.250569, 10:05:19.694,0,0,0,0,0,0,0,0,0,
6.287271, 10:05:19.729,0,0,0,0,0,0,0,0,0,
6.319014, 10:05:19.760,0,0,0,0,0,0,0,0,0,
6.352704, 10:05:19.794,0,0,0,0,0,0,0,0,0,
6.39206, 10:05:19.834,0,0,0,0,0,0,0,0,0,
6.429212, 10:05:19.872,0,0,0,0,0,0,0,0,0,
6.463043, 10:05:19.905,0,0,0,0,0,0,0,0,0,
6.496327, 10:05:19.937,0,0,0,0,0,0,0,0,0,
6.530601, 10:05:19.972,0,0,0,0,0,0,0,0,0,
6.564676, 10:05:20.008,0,0,0,0,0,0,0,0,0,
6.59848, 10:05:20.039,0,0,0,0,0,0,0,0,0,
6.636117, 10:05:20.080,0,0,0,0,0,0,0,0,0,
6.675379, 10:05:20.119,0,0,0,0,0,0,0,0,0,
6.712287, 10:05:20.154,0,0,0,0,0,0,0,0,0,
