Elapsed_Time, System_Time, Elbow_Angle_L, Elbow_Speed_L, Elbow_Angle_R, Elbow_Speed_R, ArmUD_Angle_L, ArmUD_Speed_L, ArmUD_Angle_R, ArmUD_Speed_R, ArmLR_Angle_L, ArmLR_Speed_L, ArmLR_Angle_R, ArmLR_Speed_R
2.183495, 19:49:52.294,138.8015,-15.37767,138.5019,-35.8666,12.50723,5.511585,7.634655,3.729945,10.98726,5.571715,148.3459,37.54074,
2.242126, 19:49:52.347,137.9894,-16.60219,136.6992,-27.61541,12.57315,4.027977,7.788739,2.243409,11.07751,4.280883,150.1342,28.25206,
2.294656, 19:49:52.402,136.956,30.30114,135.4321,-20.25814,12.95498,-104.0518,7.884036,1.496599,11.46313,-89.05226,151.4865,20.30237,
2.349745, 19:49:52.469,141.2504,74.34431,134.519,-12.53708,1.37512,1308.217,7.949803,0.8203257,1.493727,1306.115,152.3192,11.50874,
2.417205, 19:49:52.526,146.0668,49.09972,133.8957,-8.220899,173.2757,1370.591,7.984566,0.3780502,171.5262,1346.605,152.8969,8.45273,
2.473616, 19:49:52.594,147.3324,14.3341,133.5007,-5.282855,171.1507,-25.95796,7.996632,0.1218913,168.2982,-40.53392,153.3662,6.570566,
2.542502, 19:49:52.646,147.8629,6.895077,133.2338,-3.642613,170.0232,-15.09932,7.999838,0.07355925,166.4474,-25.39227,153.7201,5.020189,
2.594505, 19:49:52.719,148.1659,2.478764,133.0604,10.89534,169.3254,-7.49715,8.005525,-15.58409,165.2286,-14.42982,153.9731,37.4979,
2.668117, 19:49:52.770,148.1742,-2.464258,134.6024,14.09282,169.0815,4.366489,6.042237,-18.08849,164.6348,0.1490211,158.4305,43.60243,
2.718606, 19:49:52.847,147.8601,-8.115043,134.8093,1.617372,169.8673,33.20911,5.760726,-2.116593,165.2471,35.3408,159.3842,6.42733,
2.794801, 19:49:52.921,147.1462,-143.2055,134.8073,4.707285,173.2885,-1095.62,5.774098,-6.828119,169.112,-1031.82,159.2447,22.79404,
