Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 12:13:38.716,0,0,0,0,0,0,0,0,0,
0.04, 12:13:39.820,0,0,0,0,0,0,0,0,0,
0.3733333, 12:13:58.277,0,0,0,0,0,0,0,0,0,
0.6588356, 12:13:58.583,0,0,0,0,0,0,0,0,0,
0.7649785, 12:13:58.640,0,0,0,0,0,0,0,0,0,
0.866063, 12:13:58.742,0,0,0,0,0,0,0,0,0,
0.9157516, 12:13:58.788,0,0,0,0,0,0,0,0,0,
1.032192, 12:13:58.908,0,0,0,0,0,0,0,0,0,
1.078776, 12:13:58.951,0,0,0,0,0,0,0,0,0,
1.11524, 12:13:58.986,0,0,0,0,0,0,0,0,0,
1.15488, 12:13:59.026,0,0,0,0,0,0,0,0,0,
1.488213, 12:13:59.494,0,0,0,0,0,0,0,0,0,
1.559184, 12:13:59.551,0,0,0,0,0,0,0,0,0,
1.60534, 12:13:59.597,0,0,0,0,0,0,0,0,0,
1.64991, 12:13:59.639,0,0,0,0,0,0,0,0,0,
1.683135, 12:13:59.673,0,0,0,0,0,0,0,0,0,
1.784336, 12:13:59.776,0,0,0,0,0,0,0,0,0,
1.832485, 12:13:59.821,0,0,0,0,0,0,0,0,0,
1.868513, 12:13:59.858,0,0,0,0,0,0,0,0,0,
1.90133, 12:13:59.892,0,0,0,0,0,0,0,0,0,
1.93662, 12:13:59.926,0,0,0,0,0,0,0,0,0,
1.965593, 12:13:59.956,0,0,0,0,0,0,0,0,0,
2.005057, 12:13:59.994,0,0,0,0,0,0,0,0,0,
2.039284, 12:14:00.027,0,0,0,0,0,0,0,0,0,
2.074101, 12:14:00.063,0,0,0,0,0,0,0,0,0,
2.191563, 12:14:00.187,0,0,0,0,0,0,0,0,0,
2.235938, 12:14:00.226,0,0,0,0,0,0,0,0,0,
2.273108, 12:14:01.131,0,0,0,0,0,0,0,0,0,
2.606441, 12:14:08.755,0,0,0,0,0,0,0,0,0,
2.939775, 12:14:10.208,0,0,0,0,0,0,0,0,0,
3.273108, 12:14:10.544,0,0,0,0,0,0,0,0,0,
3.324224, 12:14:10.582,0,0,0,0,0,0,0,0,0,
3.35903, 12:14:10.614,0,0,0,0,0,0,0,0,0,
3.387953, 12:14:10.644,0,0,0,0,0,0,0,0,0,
3.479563, 12:14:10.739,0,0,0,0,0,0,0,0,0,
3.530958, 12:14:10.788,0,0,0,0,0,0,0,0,0,
3.567582, 12:14:10.824,0,0,0,0,0,0,0,0,0,
3.599893, 12:14:10.854,0,0,0,0,0,0,0,0,0,
3.627121, 12:14:10.883,0,0,0,0,0,0,0,0,0,
3.657819, 12:14:10.912,0,0,0,0,0,0,0,0,0,
3.688114, 12:14:10.944,0,0,0,0,0,0,0,0,0,
3.720369, 12:14:10.976,0,0,0,0,0,0,0,0,0,
3.751297, 12:14:11.006,0,0,0,0,0,0,0,0,0,
3.779739, 12:14:11.036,0,0,0,0,0,0,0,0,0,
3.811789, 12:14:11.067,0,0,0,0,0,0,0,0,0,
3.844692, 12:14:11.100,0,0,0,0,0,0,0,0,0,
3.876086, 12:14:11.130,0,0,0,0,0,0,0,0,0,
3.907652, 12:14:11.163,0,0,0,0,0,0,0,0,0,
3.940331, 12:14:11.196,0,0,0,0,0,0,0,0,0,
3.971949, 12:14:11.239,0,0,0,0,0,0,0,0,0,
4.018213, 12:14:11.274,0,0,0,0,0,0,0,0,0,
4.096815, 12:14:11.356,0,0,0,0,0,0,0,0,0,
4.130351, 12:14:11.386,0,0,0,0,0,0,0,0,0,
4.166183, 12:14:11.421,0,0,0,0,0,0,0,0,0,
4.199841, 12:14:11.455,0,0,0,0,0,0,0,0,0,
4.232468, 12:14:11.489,0,0,0,0,0,0,0,0,0,
4.2685, 12:14:11.525,0,0,0,0,0,0,0,0,0,
4.301728, 12:14:11.557,0,0,0,0,0,0,0,0,0,
4.334532, 12:14:11.590,0,0,0,0,0,0,0,0,0,
4.367164, 12:14:11.623,0,0,0,0,0,0,0,0,0,
4.403945, 12:14:11.659,0,0,0,0,0,0,0,0,0,
4.433591, 12:14:11.688,0,0,0,0,0,0,0,0,0,
4.462693, 12:14:11.718,0,0,0,0,0,0,0,0,0,
4.504004, 12:14:11.760,0,0,0,0,0,0,0,0,0,
4.538288, 12:14:11.792,0,0,0,0,0,0,0,0,0,
4.568319, 12:14:11.824,0,0,0,0,0,0,0,0,0,
4.599918, 12:14:11.856,0,0,0,0,0,0,0,0,0,
4.631099, 12:14:11.888,0,0,0,0,0,0,0,0,0,
4.670022, 12:14:11.927,0,0,0,0,0,0,0,0,0,
4.714648, 12:14:12.015,0,0,0,0,0,0,0,0,0,
4.789451, 12:14:12.047,0,0,0,0,0,0,0,0,0,
4.830423, 12:14:12.086,0,0,0,0,0,0,0,0,0,
4.864142, 12:14:12.147,0,0,0,0,0,0,0,0,0,
4.922336, 12:14:12.178,0,0,0,0,0,0,0,0,0,
