Elapsed_Time, System_Time, CHip_x, CHip_y, CHip_z, Spine_x, Spine_y, Spine_z, CShoulder_x, CShoulder_y, CShoulder_z, Head_x, Head_y, Head_z,LShoulder_x, LShoulder_y, LShoulder_z, LElbow_x, LElbow_y, LElbow_z, LWrist_x, LWrist_y, LWrist_z, LHand_x, LHand_y, LHand_z,RShoulder_x, RShoulder_y, RShoulder_z, RElbow_x, RElbow_y, RElbow_z, RWrist_x, RWrist_y, RWrist_z, RHand_x, RHand_y, RHand_z,LHip_x, LHip_y, LHip_z, LKnee_x, LKnee_y, LKnee_z, LAnkle_x, LAnkle_y, LAnkle_z, LFoot_x, LFoot_y, LFoot_z,RHip_x, RHip_y, RHip_z, RKnee_x, RKnee_y, RKnee_z, RAnkle_x, RAnkle_y, RAnkle_z, RFoot_x, RFoot_y, RFoot_z
0.0550157, 19:49:50.158,-0.1559861,0.5398308,1.992359,-0.1544026,0.5985491,2.048871,-0.1283794,0.9614686,2.081708,-0.133532,1.132469,2.081903,-0.2625718,0.8633938,2.002423,-0.4282328,0.779743,1.785319,-0.13744,0.8394701,1.637388,-0.05872158,0.8506699,1.622763,-0.02267631,0.8756946,2.005917,0.1140626,0.7323972,1.796184,0.10357,0.8409915,1.610736,0.08084221,0.8951887,1.482109,-0.2255716,0.4835498,1.975047,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09267548,0.4779128,1.984786,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.1100516, 19:49:50.225,-0.155918,0.5397419,1.992391,-0.1541714,0.5986158,2.048852,-0.1285902,0.9623937,2.080428,-0.1331461,1.132763,2.08265,-0.2674437,0.8586801,1.998553,-0.4040214,0.8058991,1.780217,-0.2714517,0.8822104,1.646931,-0.1888733,0.8836038,1.645819,-0.01746989,0.8657936,2.001361,0.1140626,0.7323972,1.796184,0.1043123,0.8545693,1.616685,0.07295902,0.8973801,1.59244,-0.2252856,0.4836567,1.975306,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09282843,0.4781058,1.985125,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.1753526, 19:49:50.275,-0.1558403,0.5397853,1.992075,-0.1538917,0.5988711,2.048369,-0.1290745,0.9630783,2.078399,-0.1329028,1.132967,2.083114,-0.2760732,0.8493464,1.995373,-0.4557516,0.8042194,1.802834,-0.3075208,0.9012681,1.710556,-0.2964056,0.8999903,1.724213,-0.01101395,0.8514621,1.998163,0.1560128,0.7554198,1.848041,0.09734219,0.8621541,1.711236,0.06485787,0.8958163,1.699035,-0.2253813,0.4836429,1.974692,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.0926386,0.4782308,1.984725,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.2256852, 19:49:50.343,-0.1558205,0.5400233,1.991056,-0.1536552,0.5993203,2.047191,-0.1297739,0.9635784,2.075896,-0.1328864,1.133214,2.083083,-0.2837781,0.84117,1.994048,-0.4902709,0.7977138,1.844683,-0.3586928,0.915702,1.766826,-0.3406504,0.9038858,1.798187,-0.006742941,0.841325,1.997153,0.181876,0.7300597,1.894911,0.08208021,0.8797547,1.789179,0.05271171,0.8945021,1.804847,-0.2261222,0.4834757,1.972676,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.092124,0.4781641,1.983295,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.2909744, 19:49:50.398,-0.1560659,0.5406218,1.988946,-0.1537972,0.6000986,2.044924,-0.1311108,0.9638134,2.072256,-0.1335564,1.133379,2.081201,-0.2895563,0.8354993,1.993519,-0.5059887,0.7914773,1.889833,-0.3742818,0.9173131,1.833579,-0.3682223,0.9098709,1.848567,-0.003390337,0.8321714,1.997904,0.1911919,0.7155833,1.94008,0.05827845,0.8916572,1.859004,0.03709911,0.8935764,1.863163,-0.2277714,0.4833187,1.968888,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09153408,0.477936,1.981066,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.3459031, 19:49:50.469,-0.1564582,0.5413938,1.986636,-0.1542023,0.6009917,2.042485,-0.1324842,0.9638962,2.068874,-0.134439,1.133516,2.078862,-0.2939804,0.8321549,1.992702,-0.5109787,0.7865646,1.921461,-0.3749211,0.9135041,1.879095,-0.3735532,0.9098227,1.878046,-0.001397758,0.8263819,1.998378,0.1859747,0.7119989,1.963937,0.04667749,0.896893,1.891104,0.03587013,0.8934495,1.882959,-0.2294843,0.4833208,1.965256,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09102732,0.4776873,1.978815,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.4171654, 19:49:50.528,-0.1568667,0.5420563,1.984616,-0.1550772,0.6017929,2.040234,-0.1337101,0.9638624,2.066318,-0.1353655,1.133644,2.07647,-0.295321,0.8317035,1.989584,-0.5111478,0.782936,1.939767,-0.3644055,0.9023813,1.90318,-0.3716835,0.9063208,1.89539,-0.0001235299,0.8227813,1.998747,0.1803043,0.7112364,1.978312,0.04335528,0.8979099,1.903409,0.03628092,0.8939237,1.896296,-0.230822,0.4834412,1.962323,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09072693,0.4774599,1.97691,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.478434, 19:49:50.594,-0.157292,0.5426298,1.982985,-0.1558422,0.6024061,2.038512,-0.1345861,0.9638078,2.064839,-0.1362164,1.133767,2.074436,-0.2966718,0.8314567,1.988032,-0.507924,0.7801966,1.950635,-0.3633852,0.9003955,1.912128,-0.3701552,0.9030632,1.905822,0.0006870763,0.8202401,1.999425,0.1727542,0.7132461,1.985969,0.04221673,0.8971915,1.906847,0.0378001,0.8938527,1.900645,-0.2319243,0.4836242,1.960039,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09060664,0.4772387,1.975393,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.541994, 19:49:50.652,-0.1577551,0.543155,1.981716,-0.1565249,0.6028801,2.037258,-0.1357036,0.9635955,2.063973,-0.1370796,1.133849,2.072777,-0.2980305,0.8311613,1.987517,-0.5023497,0.7780266,1.955924,-0.3602609,0.89692,1.91567,-0.3650405,0.9005812,1.910855,0.001072722,0.8183556,2.000753,0.1646923,0.7173753,1.986839,0.04135372,0.8962423,1.910702,0.0379711,0.8940665,1.903595,-0.2329043,0.4838061,1.958295,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09056411,0.4770634,1.974207,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.6003396, 19:49:50.722,-0.1581728,0.5435524,1.980777,-0.1572566,0.6032259,2.03632,-0.1370336,0.9633555,2.063724,-0.1377738,1.133912,2.071549,-0.2987202,0.8311796,1.987084,-0.4959516,0.7769878,1.956148,-0.3549678,0.8941913,1.910532,-0.3546681,0.8982111,1.902941,0.001263761,0.8171381,2.002739,0.1589377,0.7211581,1.98483,0.04310557,0.8937337,1.904132,0.04063025,0.8942198,1.890962,-0.2336449,0.4839569,1.957026,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09059848,0.4769108,1.973349,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.6770324, 19:49:50.779,-0.1586678,0.5439592,1.980126,-0.1579795,0.6035378,2.035738,-0.1388898,0.9630261,2.064328,-0.138402,1.133942,2.070822,-0.3003367,0.8317242,1.988281,-0.4903434,0.7767057,1.954169,-0.3505023,0.8928234,1.901946,-0.3487048,0.8969727,1.897369,0.001088307,0.8161591,2.005311,0.1554347,0.7231764,1.984023,0.04520258,0.8916267,1.896079,0.04149473,0.8949453,1.883511,-0.2343962,0.4841153,1.956087,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.0906611,0.476792,1.972743,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.7274662, 19:49:50.846,-0.1591545,0.5443177,1.979676,-0.158692,0.6037987,2.035376,-0.1407085,0.9627002,2.06522,-0.1390118,1.133942,2.070317,-0.3017817,0.8323212,1.989727,-0.4862519,0.7768667,1.951327,-0.3479742,0.8923163,1.895646,-0.3449025,0.8964641,1.892997,0.0006989093,0.8156807,2.007729,0.1528918,0.7247493,1.982838,0.04681868,0.8902509,1.889922,0.04211259,0.8953958,1.878556,-0.2350315,0.4842537,1.955423,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09074365,0.4766961,1.972304,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.793898, 19:49:50.918,-0.1596887,0.5446196,1.979432,-0.1595641,0.6039984,2.035264,-0.1425617,0.9623101,2.066353,-0.1396168,1.133927,2.070045,-0.3026962,0.8331106,1.991107,-0.4836123,0.7771106,1.948821,-0.3467524,0.8921965,1.891251,-0.3425396,0.896319,1.889792,7.69217E-05,0.8153394,2.010425,0.1511816,0.7258102,1.981918,0.04597903,0.8896813,1.886562,0.0419636,0.895704,1.875632,-0.235587,0.4843746,1.954984,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09091353,0.4765903,1.972022,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.867501, 19:49:50.960,-0.1602701,0.5447831,1.979359,-0.1606664,0.6040543,2.035383,-0.1442721,0.9619656,2.067528,-0.1403355,1.133922,2.069997,-0.3026669,0.8338709,1.991824,-0.4818519,0.7773681,1.946968,-0.3462631,0.8924127,1.888164,-0.3413374,0.8962905,1.887856,-0.0007065791,0.8151454,2.012905,0.1499809,0.7265343,1.981343,0.04559115,0.8892995,1.884415,0.04173208,0.8958631,1.873801,-0.2360439,0.4844664,1.954703,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09130476,0.4764025,1.971961,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.9082192, 19:49:51.046,-0.1608985,0.5449389,1.97946,-0.1616363,0.6040998,2.035658,-0.145729,0.9616789,2.068623,-0.1411005,1.133941,2.070108,-0.3029647,0.8347012,1.993274,-0.4807259,0.7776751,1.94556,-0.3462301,0.8928552,1.88595,-0.3407444,0.8964363,1.886439,-0.00148557,0.815247,2.015229,0.1491155,0.7270958,1.980861,0.04561889,0.8889704,1.883337,0.04150193,0.8960212,1.872689,-0.2364857,0.4845691,1.954582,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09179354,0.4762228,1.972089,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
0.9972404, 19:49:51.102,-0.1615144,0.5451117,1.979702,-0.1625196,0.604146,2.036077,-0.1471557,0.9614226,2.070007,-0.1419103,1.133969,2.070368,-0.3035095,0.8352619,1.99531,-0.4800087,0.777986,1.944543,-0.346543,0.8934917,1.884338,-0.3406639,0.896745,1.885401,-0.002449612,0.8157476,2.017908,0.1484488,0.7275691,1.98059,0.04563194,0.8887789,1.882579,0.04103246,0.8962604,1.872106,-0.2368912,0.484674,1.954579,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09227011,0.4761116,1.972332,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
1.050284, 19:49:51.149,-0.1621661,0.5453001,1.980086,-0.1633594,0.6041944,2.03663,-0.1484217,0.9612015,2.071484,-0.1426714,1.134057,2.070761,-0.3041649,0.8357046,1.99755,-0.4795249,0.7781798,1.943912,-0.3472125,0.8942727,1.883227,-0.3409611,0.8972211,1.88468,-0.003365613,0.8163408,2.020182,0.1479564,0.7279261,1.980467,0.04566028,0.888681,1.882104,0.04037135,0.8965856,1.872196,-0.2373349,0.4848059,1.954728,-0.2905231,0.2359654,1.996162,0,0,0,0,0,0,-0.09277397,0.4760294,1.97267,-0.09958383,0.2211518,2.005847,0,0,0,0,0,0,
