User_Name,Date_Joined,Time_Logged
,Participant,12/01/2020,56,Date_Time,Duration,First_Image,Last_Image,Started_PL,Finished_PL,Difficulty,Offset_XLeft,Time_XLeft,Offset_XRight,Time_XRight,Offset_YDown,Time_YDown,Offset_YUp,Time_YUp,Offset_ZForward,Time_ZForward
,12/1/2020 4:24:10 PM,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
Tag_Name,TagX,TagY,TagZ,Tag_Image#
,Shore,-1.36202,-0.17949,0.41698,0
,Person,1.40507,-0.04566,-0.00405,0
,
