*ExampleName's Movement Data*
,Elapsed_Time,System_Time,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,RHand_PosX,RHand_PosY,RHand_PosZ,RHand_RotX,RHand_RotY,RHand_RotZ,LHand_PosX,LHand_PosY,LHand_PosZ,LHand_RotX,LHand_RotY,LHand_RotZ,
,-9.797,-0.363,0.396,354.459,358.754,342.649,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-9.796,-0.363,0.396,354.468,359.481,342.217,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-9.796,-0.364,0.396,354.613,0.152,342.353,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-9.796,-0.364,0.396,354.701,0.897,342.921,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-9.796,-0.363,0.396,354.667,1.508,343.906,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-10.041,-0.202,0.126,356.923,1.335,345.812,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-10.040,-0.204,0.128,356.425,1.252,347.293,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-10.039,-0.205,0.130,355.962,0.976,348.346,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-10.039,-0.207,0.132,355.388,0.687,349.334,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-10.039,-0.208,0.133,354.772,0.510,349.988,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
,-10.038,-0.209,0.135,354.342,0.444,350.547,-0.041,-0.981,0.430,74.733,325.832,49.230,-0.041,-0.981,0.430,74.733,325.832,49.230,
